Time,bit-x,bitfinex,bitstamp,btce,coinbase,gemini,kraken,mtgox,okcoin,others
2019-06-01 00:00:00 UTC,116386.74,507605.637645989,335853.84358557,,634824.583778903,81986.8154413807,270466.29436915,,,70831.63730061
2019-07-01 00:00:00 UTC,53723.3298,500190.350721686,369569.78722698,,714998.01019819,82846.8337562697,263896.615558679,,,73910.78107048
2019-08-01 00:00:00 UTC,35854.4866,266288.326982331,249467.42824974,,412645.45245886,57341.4436067962,179157.38088425,,,52783.61236186
2019-09-01 00:00:00 UTC,44566.3013,207546.139120011,212650.56720925,,320994.44952802,50305.0067914645,152743.45610603,,,40262.03693221
2019-10-01 00:00:00 UTC,129718.6586,202911.985530794,251898.37154397,,337608.389235371,42754.1740239126,169613.31671709,,,45758.27899588
2019-11-01 00:00:00 UTC,59583.3177,174422.153972541,186160.3389898,,284354.21755547,31052.8538581849,135892.57666333,,,33636.90001752
2019-12-01 00:00:00 UTC,62940.4594000001,162674.672233171,129082.67524297,,261021.855532209,25415.7145394008,133239.21887543,,,32037.35478486
2020-01-01 00:00:00 UTC,61145.7232,191736.39019419,202621.04102993,,328744.37393037,32466.5925378179,182287.55077319,,,29942.39725494
2020-02-01 00:00:00 UTC,61629.4475,215615.963802121,170499.22619002,,316757.985602019,35481.8450849739,132804.87930091,,,24843.98724386
2020-03-01 00:00:00 UTC,82813.4765,647375.439890938,481836.5806533,,989839.247938768,149610.741036636,389766.04783026,,,42603.71068706
2020-04-01 00:00:00 UTC,55528.7527,309980.208974713,292048.02600804,,529252.315720411,74662.3305709466,263976.24485242,,,27045.98194381
2020-05-01 00:00:00 UTC,68130.2991,273558.151855168,388441.178282631,,578056.098202394,77889.6211221527,273139.31534079,,,18874.35487957
2020-06-01 00:00:00 UTC,71798.2395,144798.804332981,209682.99384841,,336340.725077761,57758.4619902865,158708.36424337,,,11091.65539384
2020-07-01 00:00:00 UTC,70878.8974000001,118427.224652291,197402.43038415,,313850.14576708,58659.5092925552,119081.12953764,,,13183.24323993
2020-08-01 00:00:00 UTC,67881.5171,145567.663281671,194201.64140435,,422089.03753908,54566.5100109155,127197.04390361,,,13827.89901393
2020-09-01 00:00:00 UTC,65739.3549,128118.92502474,210918.70882913,,342282.0104485,51293.5066201527,117496.43669647,,,11872.77319748
2020-10-01 00:00:00 UTC,60128.5213000001,129923.34708608,182381.64070865,,336767.39185461,54549.187658818,126728.37633776,,,10514.27858129
2020-11-01 00:00:00 UTC,59568.3120999999,293916.120330506,288240.28423716,,559804.00419601,67781.6924688141,220471.53930339,,,13324.16155515
2020-12-01 00:00:00 UTC,67510.5843,293029.166898181,256335.97849854,,604465.29330028,63747.9430488548,225787.0099055,,,12704.35485527
2021-01-01 00:00:00 UTC,93628.3181,477752.748851091,457460.82978648,,1098758.22485936,118399.646089744,360956.17393434,,,16266.25108605
2021-02-01 00:00:00 UTC,0.1568,326069.893363533,240350.58332404,,728940.45826348,75222.4377745669,202468.9903899,,,11407.56888584
2021-03-01 00:00:00 UTC,0.1376,267070.505758903,157978.52920805,,588108.902880064,53414.1851399978,172213.03133241,,,8119.73645026
2021-04-01 00:00:00 UTC,0.2971,251550.846642842,139619.6936868,,464419.597838127,56047.713446543,150719.77538747,,,10351.32115013
2021-05-01 00:00:00 UTC,0.0649,429774.998649583,209751.849385259,,903498.27016305,110182.651343564,256557.59879419,,,19789.91172458
2021-06-01 00:00:00 UTC,0.0333,350235.349431967,144223.40019357,,598296.884530519,91389.3803444869,196530.85940478,,,12112.26330398
2021-07-01 00:00:00 UTC,0.1,214057.745776638,79968.0494158999,,371237.08946628,56452.8913217048,109884.43994867,,,8933.38026113
2021-08-01 00:00:00 UTC,0.0101,174312.868416114,80596.17351049,,388137.409976207,52182.5498554501,98976.13183719,,,8805.71449764
2021-09-01 00:00:00 UTC,0.0122,178064.0002226,69842.3600236699,,389842.394137916,51777.2907371985,88606.17618539,,,8683.86205276
2021-10-01 00:00:00 UTC,0.0167,183015.291930987,79184.40996612,,431367.237303407,51260.3103349718,96244.5601159399,,,8197.12858103999
2021-11-01 00:00:00 UTC,0.0016,171229.706010959,72200.80293287,,401818.185386595,42064.1993362037,87014.8206440199,,,6824.48336526999
2021-12-01 00:00:00 UTC,0.016,171816.788965672,71896.34800245,,506077.844667461,40888.1171506297,97631.7726946399,,,4169.85840068999
2022-01-01 00:00:00 UTC,0.0278,192765.525487828,71876.0941638199,,578097.143094399,46881.0763871001,99036.46900856,,,4543.69315818
2022-02-01 00:00:00 UTC,0.0013,152062.426324319,57968.4748504499,,452962.715584227,37261.17855103,93062.6376647001,,,4241.18583179
2022-03-01 00:00:00 UTC,0.0159,143575.241012559,57991.9296694899,,478723.243145911,34330.93603702,100649.80659677,,,4172.87028436
